primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,class_name,inat_taxon_id,author,license,rating,url,filename,collection
batbel1,[],[],-23.8947,-46.9103,Procnias nudicollis,Bare-throated Bellbird,Aves,8854.0,cliobr,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1625494.mp3?1757013458,train_audio/batbel1/iNat1625494.ogg,iNat
yecpar,[],[],-7.0275,-42.5867,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves,19215.0,J. Ribamar S. Amarante,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1718367.m4a?1765991296,train_audio/yecpar/iNat1718367.ogg,iNat
pirfly1,[],['call'],0.7002,-75.245,Legatus leucophaius,Piratic Flycatcher,Aves,17312.0,Mauricio Cuellar Ramirez (@Birding.travel),by-nc-sa,5.0,https://xeno-canto.org/609543/download,train_audio/pirfly1/XC609543.ogg,XC
whtdov,[],['song'],-4.0364,-79.1931,Leptotila verreauxi,White-tipped Dove,Aves,3280.0,Leonardo Ordóñez-Delgado,by-nc-sa,5.0,https://xeno-canto.org/347785/download,train_audio/whtdov/XC347785.ogg,XC
masgna1,[],[],-31.6616,-60.7607,Polioptila dumicola,Masked Gnatcatcher,Aves,7509.0,Eduardo Luis Beltrocco,cc-by,0.0,https://static.inaturalist.org/sounds/770321.m4a?1689504833,train_audio/masgna1/iNat770321.ogg,iNat
strowl1,[],['call'],6.267,-75.6027,Asio clamator,Striped Owl,Aves,558468.0,William Agudelo,by-nc-sa,2.0,https://xeno-canto.org/118000/download,train_audio/strowl1/XC118000.ogg,XC
y00678,[],[],-7.9238,-35.165,Caracara plancus,Crested Caracara,Aves,4715.0,Helio Lourencini,cc-by,0.0,https://static.inaturalist.org/sounds/369622.wav?1647107041,train_audio/y00678/iNat369622.ogg,iNat
strowl1,[],[],-33.6426,-65.4477,Asio clamator,Striped Owl,Aves,558468.0,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1270528.wav?1734749265,train_audio/strowl1/iNat1270528.ogg,iNat
bobfly1,[],"['call', ' song']",-22.5762,-43.4762,Megarynchus pitangua,Boat-billed Flycatcher,Aves,16737.0,Odirlei Vieira da Fonseca,by-nc-sa,5.0,https://xeno-canto.org/666481/download,train_audio/bobfly1/XC666481.ogg,XC
houspa,[],[],53.5115,-2.7067,Passer domesticus,House Sparrow,Aves,13858.0,Graham Clarkson,cc-by-nc,0.0,https://static.inaturalist.org/sounds/487118.m4a?1656623888,train_audio/houspa/iNat487118.ogg,iNat
smbani,[],['call'],-4.1001,-78.9646,Crotophaga ani,Smooth-billed Ani,Aves,1971.0,Eric DeFonso,by-nc-sa,4.0,https://xeno-canto.org/120089/download,train_audio/smbani/XC120089.ogg,XC
fusfly1,[],['song'],4.351,-74.652,Cnemotriccus fuscatus,Fuscous Flycatcher,Aves,17076.0,Jerome Fischer,by-nc-sa,5.0,https://xeno-canto.org/552755/download,train_audio/fusfly1/XC552755.ogg,XC
grhtan1,[],['song'],-20.5416,-56.7073,Eucometis penicillata,Grey-headed Tanager,Aves,10698.0,Guilherme Melo,by-nc-sa,5.0,https://xeno-canto.org/854884/download,train_audio/grhtan1/XC854884.ogg,XC
saffin,[],['song'],4.351,-74.652,Sicalis flaveola,Saffron Finch,Aves,9864.0,Jerome Fischer,by-nc-sa,4.0,https://xeno-canto.org/541904/download,train_audio/saffin/XC541904.ogg,XC
swtman1,['grekis'],['call'],-22.3926,-42.3662,Chiroxiphia caudata,Swallow-tailed Manakin,Aves,14306.0,Ricardo José Mitidieri,by-nc-sa,3.5,https://xeno-canto.org/315667/download,train_audio/swtman1/XC315667.ogg,XC
greant1,[],['call'],-32.8606,-60.6486,Taraba major,Great Antshrike,Aves,15957.0,Franco Vushurovich,by-nc-sa,4.0,https://xeno-canto.org/579560/download,train_audio/greant1/XC579560.ogg,XC
greani1,[],['subsong'],-9.8112,-50.1683,Crotophaga major,Greater Ani,Aves,1970.0,Dante Buzzetti,by-nc-sa,4.0,https://xeno-canto.org/646808/download,train_audio/greani1/XC646808.ogg,XC
rufhor2,[],[],-38.9731,-68.0615,Furnarius rufus,Rufous Hornero,Aves,11275.0,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/102311.wav?1591336889,train_audio/rufhor2/iNat102311.ogg,iNat
banana,[],[],18.4812,-69.8437,Coereba flaveola,Bananaquit,Aves,10199.0,Christopher Rustay,cc-by-nc,0.0,https://static.inaturalist.org/sounds/688425.m4a?1683573981,train_audio/banana/iNat688425.ogg,iNat
osprey,[],['call'],56.0535,-5.5425,Pandion haliaetus,Osprey,Aves,116999.0,Paul Howden-Leach,by-nc-sa,4.0,https://xeno-canto.org/670355/download,train_audio/osprey/XC670355.ogg,XC
undtin1,[],['song'],-14.8264,-56.4241,Crypturellus undulatus,Undulated Tinamou,Aves,20592.0,João Antônio de B. Vitto,by-nc-sa,3.0,https://xeno-canto.org/174047/download,train_audio/undtin1/XC174047.ogg,XC
whiwoo1,[],[],-31.6627,-60.7617,Melanerpes candidus,White Woodpecker,Aves,18183.0,Eduardo Luis Beltrocco,cc-by,0.0,https://static.inaturalist.org/sounds/1035105.m4a?1715553772,train_audio/whiwoo1/iNat1035105.ogg,iNat
fepowl,[],[],20.5138,-97.4619,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,19822.0,pozaricaalnatural,cc-by-nc,0.0,https://static.inaturalist.org/sounds/342713.wav?1641160709,train_audio/fepowl/iNat342713.ogg,iNat
pabspi1,['grekis'],['call'],4.8865,-74.4711,Synallaxis albescens,Pale-breasted Spinetail,Aves,10999.0,Nick Bayly,by-nc-sa,4.5,https://xeno-canto.org/348991/download,train_audio/pabspi1/XC348991.ogg,XC
pabspi1,[],[],4.7816,-75.7321,Synallaxis albescens,Pale-breasted Spinetail,Aves,10999.0,David Monroy Rengifo,by-nc-sa,4.0,https://xeno-canto.org/771680/download,train_audio/pabspi1/XC771680.ogg,XC
fusfly1,[],"['song', ' daytime song']",-25.6084,-54.4326,Cnemotriccus fuscatus,Fuscous Flycatcher,Aves,17076.0,Daniel Lane,by-nc-sa,4.0,https://xeno-canto.org/75583/download,train_audio/fusfly1/XC75583.ogg,XC
trokin,[],[],9.9229,-84.1623,Tyrannus melancholicus,Tropical Kingbird,Aves,16787.0,Jo Jiménez,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1321598.mp3?1740965916,train_audio/trokin/iNat1321598.ogg,iNat
fepowl,[],[],-34.6445,-58.4777,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,19822.0,Gabriel Celedon,cc-by-nc,0.0,https://static.inaturalist.org/sounds/134995.m4a?1599502208,train_audio/fepowl/iNat134995.ogg,iNat
whbant2,[],['song'],-24.2667,-48.4167,Biatas nigropectus,White-bearded Antshrike,Aves,15902.0,Andrew Spencer,by-nc-sa,5.0,https://xeno-canto.org/200803/download,train_audio/whbant2/XC200803.ogg,XC
bobfly1,[],[],9.8857,-85.5427,Megarynchus pitangua,Boat-billed Flycatcher,Aves,16737.0,Dan MacNeal,cc-by,0.0,https://static.inaturalist.org/sounds/933590.wav?1710763154,train_audio/bobfly1/iNat933590.ogg,iNat
paltan1,[],['dawn song'],4.5585,-75.3275,Thraupis palmarum,Palm Tanager,Aves,10297.0,Jerome Fischer,by-nc-sa,4.0,https://xeno-canto.org/577066/download,train_audio/paltan1/XC577066.ogg,XC
bncfly,[],"['call', ' duet', ' song']",31.906,-109.1543,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves,16016.0,Richard E. Webster,by-nc-sa,5.0,https://xeno-canto.org/123308/download,train_audio/bncfly/XC123308.ogg,XC
rinkin1,['greant1'],['call'],-7.3903,-34.8942,Megaceryle torquata,Ringed Kingfisher,Aves,2552.0,Caio Brito,by-nc-sa,2.5,https://xeno-canto.org/207683/download,train_audio/rinkin1/XC207683.ogg,XC
bufpar,[],"['flight call', ' song']",-9.9501,-39.1501,Amazona aestiva,Turquoise-fronted Amazon,Aves,18978.0,GABRIEL LEITE,by-nc-sa,3.0,https://xeno-canto.org/118686/download,train_audio/bufpar/XC118686.ogg,XC
plasla1,[],['call'],-16.3198,-50.9076,Thamnophilus pelzelni,Planalto Slaty Antshrike,Aves,73493.0,Daniel Blamires,by-nc-sa,0.0,https://xeno-canto.org/334333/download,train_audio/plasla1/XC334333.ogg,XC
pluibi1,[],['song'],-32.9426,-54.447,Theristicus caerulescens,Plumbeous Ibis,Aves,3768.0,Guillermo Menéndez (gmmv80),by-nc-sa,0.0,https://xeno-canto.org/450538/download,train_audio/pluibi1/XC450538.ogg,XC
rebscy1,['fusfly1'],['song'],-25.9225,-61.7139,Campylorhamphus trochilirostris,Red-billed Scythebill,Aves,11201.0,Niels Krabbe,by-nc-sa,2.5,https://xeno-canto.org/687741/download,train_audio/rebscy1/XC687741.ogg,XC
compau,[],[],29.282,-98.4791,Nyctidromus albicollis,Pauraque,Aves,19627.0,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1148601.wav?1722438115,train_audio/compau/iNat1148601.ogg,iNat
compau,[],[],-2.9665,-60.7403,Nyctidromus albicollis,Pauraque,Aves,19627.0,mapoflife_rapidassessments,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1177367.mpga?1724211169,train_audio/compau/iNat1177367.ogg,iNat
fepowl,[],[],-0.5252,-76.4396,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,19822.0,Christoph Moning,cc-by,0.0,https://static.inaturalist.org/sounds/577372.mp3?1672177363,train_audio/fepowl/iNat577372.ogg,iNat
pabspi1,[],[],-33.5007,-58.8046,Synallaxis albescens,Pale-breasted Spinetail,Aves,10999.0,Guille Ivan Spajic,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1487379.wav?1748315843,train_audio/pabspi1/iNat1487379.ogg,iNat
chbmoc1,"['smbani', 'chobla1']",['call'],-13.7656,-66.1005,Mimus saturninus,Chalk-browed Mockingbird,Aves,14878.0,Richard E. Webster,by-nc-sa,4.5,https://xeno-canto.org/706287/download,train_audio/chbmoc1/XC706287.ogg,XC
brnowl,[],[],33.1783,-117.3144,Tyto furcata,American Barn Owl,Aves,1578502.0,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1097499.m4a?1718598066,train_audio/brnowl/iNat1097499.ogg,iNat
fepowl,[],[],-34.7868,-58.3988,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,19822.0,Juan Zara,cc-by-nc,0.0,https://static.inaturalist.org/sounds/594426.m4a?1675839581,train_audio/fepowl/iNat594426.ogg,iNat
recfin1,"['trokin', 'barant1', 'relser1']",['song'],-16.0538,-49.604,Coryphospingus cucullatus,Red-crested Finch,Aves,10310.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,4.5,https://xeno-canto.org/699599/download,train_audio/recfin1/XC699599.ogg,XC
rumfly1,['whtdov'],"['call', ' Batido de asas']",-16.5849,-49.1211,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves,16833.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,3.5,https://xeno-canto.org/804030/download,train_audio/rumfly1/XC804030.ogg,XC
coffal1,[],[],25.4684,-100.2298,Micrastur semitorquatus,Collared Forest-Falcon,Aves,4698.0,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/637450.wav?1681064000,train_audio/coffal1/iNat637450.ogg,iNat
rivwar1,[],['song'],-25.688,-54.451,Myiothlypis rivularis,Riverbank Warbler,Aves,145267.0,Daniel Lane,by-nc-sa,4.0,https://xeno-canto.org/70071/download,train_audio/rivwar1/XC70071.ogg,XC
bobfly1,[],[],9.9,-75.1167,Megarynchus pitangua,Boat-billed Flycatcher,Aves,16737.0,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),by-nc-sa,4.0,https://xeno-canto.org/523951/download,train_audio/bobfly1/XC523951.ogg,XC
magant1,"['rutjac1', 'sibtan2', 'barant1']","['call', ' song']",-13.2414,-64.682,Cercomacra melanaria,Mato Grosso Antbird,Aves,15737.0,Tom Stuart,by-nc-sa,2.5,https://xeno-canto.org/358432/download,train_audio/magant1/XC358432.ogg,XC
epaori4,[],[],-27.8884,-52.2258,Icterus pyrrhopterus,Variable Oriole,Aves,72954.0,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1624631.mp3?1756925254,train_audio/epaori4/iNat1624631.ogg,iNat
paltan1,[],['song'],4.5652,-52.2098,Thraupis palmarum,Palm Tanager,Aves,10297.0,Alain Malengreau,by-nc-sa,4.0,https://xeno-canto.org/872314/download,train_audio/paltan1/XC872314.ogg,XC
yebela1,[],['call'],4.7216,-52.3073,Elaenia flavogaster,Yellow-bellied Elaenia,Aves,16714.0,Brice de la Croix,by-nc-sa,4.0,https://xeno-canto.org/479988/download,train_audio/yebela1/XC479988.ogg,XC
fotfly,[],['song'],-16.0538,-49.604,Tyrannus savana,Fork-tailed Flycatcher,Aves,16793.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,5.0,https://xeno-canto.org/761511/download,train_audio/fotfly/XC761511.ogg,XC
soulap1,[],['alarm call'],1.4898,-75.6801,Vanellus chilensis,Southern Lapwing,Aves,4867.0,Mauricio Cuellar Ramirez (@Birding.travel),by-nc-sa,5.0,https://xeno-canto.org/550002/download,train_audio/soulap1/XC550002.ogg,XC
yeofly1,[],"['song', ' long interval song']",-4.377,-79.903,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves,16567.0,Charlie Vogt,by-nc-sa,2.0,https://xeno-canto.org/279631/download,train_audio/yeofly1/XC279631.ogg,XC
sofspi1,[],['song'],-6.4818,-47.8109,Synallaxis frontalis,Sooty-fronted Spinetail,Aves,10996.0,Tulio Dornas,by-nc-sa,4.0,https://xeno-canto.org/698622/download,train_audio/sofspi1/XC698622.ogg,XC
555123,[],[],-15.7422,-48.0849,Boana lundii,Usina Tree Frog,Amphibia,555123.0,Jean Martins,cc-by-nc,0.0,https://static.inaturalist.org/sounds/336366.m4a?1639111434,train_audio/555123/iNat336366.ogg,iNat
purjay1,[],['alarm call'],-17.9236,-63.1583,Cyanocorax cyanomelas,Purplish Jay,Aves,8483.0,Yoann BLANCHON,by-nc-sa,4.0,https://xeno-canto.org/289543/download,train_audio/purjay1/XC289543.ogg,XC
whtdov,[],['song'],13.857,-87.235,Leptotila verreauxi,White-tipped Dove,Aves,3280.0,Alfonso Auerbach,by-nc-sa,3.0,https://xeno-canto.org/364314/download,train_audio/whtdov/XC364314.ogg,XC
rinkin1,[],['flight call'],-0.0523,-78.7764,Megaceryle torquata,Ringed Kingfisher,Aves,2552.0,Martin St-Michel,by-nc-sa,4.0,https://xeno-canto.org/158323/download,train_audio/rinkin1/XC158323.ogg,XC
varant1,[],['call'],-27.4617,-55.5665,Thamnophilus caerulescens,Variable Antshrike,Aves,15757.0,Luis Seko Pradier,by-nc-sa,4.0,https://xeno-canto.org/671090/download,train_audio/varant1/XC671090.ogg,XC
rumfly1,"['picpig2', 'yecpar']","['call', ' song']",-16.0538,-49.604,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves,16833.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,4.5,https://xeno-canto.org/699659/download,train_audio/rumfly1/XC699659.ogg,XC
eulfly1,[],[],-28.8262,-66.308,Lathrotriccus euleri,Euler's Flycatcher,Aves,17231.0,Pablo Demaio,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1262770.mp3?1733423742,train_audio/eulfly1/iNat1262770.ogg,iNat
varant1,[],[],-29.9819,-51.0337,Thamnophilus caerulescens,Variable Antshrike,Aves,15757.0,EDISON BORGES,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1392422.wav?1745464390,train_audio/varant1/iNat1392422.ogg,iNat
soulap1,[],[],4.6739,-74.0558,Vanellus chilensis,Southern Lapwing,Aves,4867.0,Juan Carlos Caicedo Hernández,cc-by,0.0,https://static.inaturalist.org/sounds/613479.m4a?1678631917,train_audio/soulap1/iNat613479.ogg,iNat
grhtan1,[],['song'],-4.2889,-70.2948,Eucometis penicillata,Grey-headed Tanager,Aves,10698.0,Jerome Fischer,by-nc-sa,5.0,https://xeno-canto.org/437036/download,train_audio/grhtan1/XC437036.ogg,XC
socfly1,[],['call'],10.4527,-84.7214,Myiozetetes similis,Social Flycatcher,Aves,16842.0,Albert Lastukhin,by-nc-sa,4.0,https://xeno-canto.org/378507/download,train_audio/socfly1/XC378507.ogg,XC
coffal1,[],"['call', ' song']",-16.6869,-49.2648,Micrastur semitorquatus,Collared Forest-Falcon,Aves,4698.0,Nunes,by-nc-sa,4.0,https://xeno-canto.org/403315/download,train_audio/coffal1/XC403315.ogg,XC
yebela1,[],['dawn song'],-1.183,-79.433,Elaenia flavogaster,Yellow-bellied Elaenia,Aves,16714.0,Niels Krabbe,by-sa,3.0,https://xeno-canto.org/249498/download,train_audio/yebela1/XC249498.ogg,XC
baffal1,[],['call'],-4.293,-47.5569,Micrastur ruficollis,Barred Forest-Falcon,Aves,4699.0,Fernando Igor de Godoy,by-nc-sa,4.0,https://xeno-canto.org/705219/download,train_audio/baffal1/XC705219.ogg,XC
socfly1,[],['call'],27.7834,-109.8984,Myiozetetes similis,Social Flycatcher,Aves,16842.0,Richard E. Webster,by-nc-sa,4.0,https://xeno-canto.org/441815/download,train_audio/socfly1/XC441815.ogg,XC
yeofly1,[],['call'],8.9945,-79.5461,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves,16567.0,Jerome Fischer,by-nc-sa,5.0,https://xeno-canto.org/456885/download,train_audio/yeofly1/XC456885.ogg,XC
fepowl,[],[],19.3447,-90.731,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,19822.0,Ana Josefa López Sandoval,cc-by-nc-sa,0.0,https://static.inaturalist.org/sounds/547058.m4a?1665301895,train_audio/fepowl/iNat547058.ogg,iNat
redjun,[],"['alarm call', ' call']",18.2132,104.8341,Gallus gallus,Red Junglefowl,Aves,882.0,Mike Nelson,by-nc-sa,4.0,https://xeno-canto.org/239791/download,train_audio/redjun/XC239791.ogg,XC
rumfly1,[],['song'],1.7914,-61.1375,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves,16833.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,4.0,https://xeno-canto.org/939924/download,train_audio/rumfly1/XC939924.ogg,XC
greant1,[],[],-31.3678,-57.9961,Taraba major,Great Antshrike,Aves,15957.0,Sebastián,cc-by-nc,0.0,https://static.inaturalist.org/sounds/873867.wav?1704895725,train_audio/greant1/iNat873867.ogg,iNat
squcuc1,[],[],-5.9307,-35.2235,Piaya cayana,Common Squirrel-Cuckoo,Aves,1758.0,Yby Naturalista,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1300964.m4a?1738793724,train_audio/squcuc1/iNat1300964.ogg,iNat
roahaw,[],[],20.6776,-88.2125,Rupornis magnirostris,Roadside Hawk,Aves,201041.0,Alejandra Flores,cc-by-nc-sa,0.0,https://static.inaturalist.org/sounds/612773.m4a?1678545962,train_audio/roahaw/iNat612773.ogg,iNat
gycwor1,[],['song'],10.4241,-68.0116,Aramides cajaneus,Grey-cowled Wood Rail,Aves,513889.0,OSWALDO RAMOS,by-nc-sa,2.0,https://xeno-canto.org/130393/download,train_audio/gycwor1/XC130393.ogg,XC
varant1,[],['duet'],-17.8367,-64.7053,Thamnophilus caerulescens,Variable Antshrike,Aves,15757.0,Jacob Wijpkema,by-nc-sa,4.0,https://xeno-canto.org/631580/download,train_audio/varant1/XC631580.ogg,XC
souscr1,[],['flight call'],-30.2021,-57.5052,Chauna torquata,Southern Screamer,Aves,6910.0,Guy Kirwan,by-nc-sa,4.0,https://xeno-canto.org/823946/download,train_audio/souscr1/XC823946.ogg,XC
swtman1,[],['song'],-24.178,-46.947,Chiroxiphia caudata,Swallow-tailed Manakin,Aves,14306.0,Robson Silva e Silva,by-nc-sa,4.0,https://xeno-canto.org/319668/download,train_audio/swtman1/XC319668.ogg,XC
thlwre1,[],"['duet', ' song', ' ', ' song in duet']",-19.027,-40.156,Campylorhynchus turdinus,Thrush-like Wren,Aves,7480.0,Jeremy Minns,by-nc-sa,5.0,https://xeno-canto.org/293187/download,train_audio/thlwre1/XC293187.ogg,XC
linwoo1,[],[],20.3451,-87.576,Dryocopus lineatus,Lineated Woodpecker,Aves,17858.0,Daniel Correia,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1133459.m4a?1721084149,train_audio/linwoo1/iNat1133459.ogg,iNat
ruther1,['limpki'],['song'],-0.472,-76.459,Tigrisoma lineatum,Rufescent Tiger Heron,Aves,5048.0,John V. Moore,by-nc-sa,3.5,https://xeno-canto.org/257300/download,train_audio/ruther1/XC257300.ogg,XC
crbthr1,[],['song'],-21.4932,-44.6478,Turdus amaurochalinus,Creamy-bellied Thrush,Aves,12710.0,Ricardo José Mitidieri,by-nc-sa,5.0,https://xeno-canto.org/689836/download,train_audio/crbthr1/XC689836.ogg,XC
sibtan2,[],['song'],-13.0546,-71.5451,Ramphocelus carbo,Silver-beaked Tanager,Aves,10056.0,Adrian Eisen Rupp,by-nc-sa,4.0,https://xeno-canto.org/112536/download,train_audio/sibtan2/XC112536.ogg,XC
souant1,[],[],-25.8595,-54.1813,Corythopis delalandi,Southern Antpipit,Aves,17264.0,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/148808.mp3?1605407681,train_audio/souant1/iNat148808.ogg,iNat
chobla1,[],[],-27.4704,-55.8006,Gnorimopsar chopi,Chopi Blackbird,Aves,10723.0,Agulian Carlos,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1573579.m4a?1752882190,train_audio/chobla1/iNat1573579.ogg,iNat
saffin,[],[],-25.455,-49.2248,Sicalis flaveola,Saffron Finch,Aves,9864.0,Curupira and Boitatá,cc-by,0.0,https://static.inaturalist.org/sounds/1713400.mp3?1765466185,train_audio/saffin/iNat1713400.ogg,iNat
banana,[],[],14.7139,-61.1827,Coereba flaveola,Bananaquit,Aves,10199.0,Donald Davesne,cc-by,0.0,https://static.inaturalist.org/sounds/502581.wav?1658207683,train_audio/banana/iNat502581.ogg,iNat
eulfly1,[],['song'],-5.9138,-49.9126,Lathrotriccus euleri,Euler's Flycatcher,Aves,17231.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,3.0,https://xeno-canto.org/830533/download,train_audio/eulfly1/XC830533.ogg,XC
yecpar,[],['song'],-20.7882,-51.703,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves,19215.0,Fernando Igor de Godoy,by-nc-sa,0.0,https://xeno-canto.org/421669/download,train_audio/yecpar/XC421669.ogg,XC
bobfly1,['wesfie1'],"['call', ' daytime call']",-3.8242,-80.2601,Megarynchus pitangua,Boat-billed Flycatcher,Aves,16737.0,Daniel Lane,by-nc-sa,3.5,https://xeno-canto.org/56166/download,train_audio/bobfly1/XC56166.ogg,XC
grfdov1,[],['song'],0.1591,-51.0538,Leptotila rufaxilla,Grey-fronted Dove,Aves,3302.0,Dante Buzzetti,by-nc-sa,4.0,https://xeno-canto.org/711060/download,train_audio/grfdov1/XC711060.ogg,XC
brnowl,[],['call'],32.0351,-85.4732,Tyto furcata,American Barn Owl,Aves,1578502.0,John A. Trent,by-nc-sa,5.0,https://xeno-canto.org/202599/download,train_audio/brnowl/XC202599.ogg,XC
bbwduc,[],['call'],5.065,-75.663,Dendrocygna autumnalis,Black-bellied Whistling Duck,Aves,6893.0,Juan Alejandro Morales Betancourt,by-nc-sa,4.0,https://xeno-canto.org/118580/download,train_audio/bbwduc/XC118580.ogg,XC
bkhpar,[],[],-34.4276,-58.4176,Aratinga nenday,Nanday Parakeet,Aves,367562.0,Nehuen Carbonell,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1628844.mp3?1757278262,train_audio/bkhpar/iNat1628844.ogg,iNat
bncfly,[],"['call', ' 2 call types']",-24.665,-65.377,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves,16016.0,Niels Krabbe,by-nc-sa,5.0,https://xeno-canto.org/288823/download,train_audio/bncfly/XC288823.ogg,XC
25092,[],[],-23.5472,-47.5494,Elachistocleis bicolor,Two-colored oval frog,Amphibia,25092.0,lucasforti,cc-by-nc,0.0,https://static.inaturalist.org/sounds/581599.m4a?1672961540,train_audio/25092/iNat581599.ogg,iNat
grepot1,[],['song'],-5.7673,-67.7723,Nyctibius grandis,Great Potoo,Aves,19680.0,GABRIEL LEITE,by-nc-sa,4.0,https://xeno-canto.org/206942/download,train_audio/grepot1/XC206942.ogg,XC
